N,P,K,temperature,humidity,ph,rainfall,label
101.2,58.5,42.8,24.6,85.5,5.5,184.7,rice
108.8,58.8,46.7,25.9,81.8,5.3,184.0,rice
111.5,37.5,39.0,22.7,86.4,5.5,276.1,rice
122.4,43.7,41.6,27.0,86.0,6.3,207.2,rice
89.9,38.5,39.4,21.4,88.0,7.1,196.7,rice
122.0,51.1,36.3,21.0,87.3,6.9,284.2,rice
108.0,53.1,36.5,22.7,86.7,5.1,198.5,rice
116.6,50.9,32.4,21.2,86.4,5.4,244.6,rice
102.0,58.3,38.4,22.0,86.9,6.7,284.0,rice
109.9,56.9,35.8,24.8,82.0,6.1,184.9,rice
116.3,52.3,37.7,25.6,85.0,7.0,284.6,rice
84.5,37.5,37.3,24.2,83.0,6.8,298.7,rice
79.9,35.3,38.6,23.9,89.6,5.7,274.5,rice
110.0,44.5,44.1,26.0,83.0,5.7,302.6,rice
88.8,40.5,38.2,26.3,81.8,6.8,285.0,rice
108.6,36.5,46.7,23.6,81.5,5.8,200.4,rice
103.3,40.5,41.5,20.0,84.1,6.3,277.7,rice
111.1,36.5,42.2,24.9,84.7,5.7,183.1,rice
83.8,51.2,38.2,21.3,86.3,5.2,286.3,rice
107.4,57.5,36.0,26.2,84.9,6.7,184.6,rice
110.5,57.4,42.0,21.0,87.4,5.3,266.7,rice
106.0,42.5,41.8,26.1,83.2,6.1,292.1,rice
102.8,54.1,42.7,21.4,84.6,5.5,247.1,rice
92.1,45.4,46.3,21.7,86.2,5.1,189.9,rice
113.7,47.1,39.3,21.6,86.0,6.7,290.7,rice
87.6,35.3,40.0,26.0,82.6,5.3,299.1,rice
115.6,42.2,47.5,20.5,87.4,7.0,230.0,rice
115.8,54.1,44.4,25.3,88.2,6.9,257.4,rice
107.7,43.3,42.2,27.5,87.6,6.2,230.3,rice
95.2,55.2,45.6,20.7,84.2,6.2,218.9,rice
94.3,41.0,40.3,23.2,88.0,6.0,220.9,rice
98.1,44.7,42.4,25.3,89.3,6.9,186.3,rice
85.2,45.4,36.1,24.7,86.5,6.4,186.7,rice
85.3,49.2,42.4,21.3,91.0,6.1,187.6,rice
104.3,54.9,37.9,24.9,88.7,5.8,209.5,rice
116.5,35.7,45.7,20.6,87.0,5.2,189.0,rice
105.1,43.7,36.6,27.1,83.3,6.0,304.5,rice
85.7,48.4,35.5,22.1,79.9,6.6,213.2,rice
106.3,46.0,39.2,27.3,89.3,5.9,291.5,rice
65.0,49.7,19.1,21.0,67.8,5.6,110.0,maize
95.2,46.5,23.0,19.4,69.8,5.4,73.6,maize
63.7,44.1,23.3,22.1,73.6,6.8,68.2,maize
97.5,57.8,19.2,18.1,68.5,6.0,102.0,maize
70.2,53.5,11.7,19.3,62.9,6.2,61.1,maize
64.8,52.1,18.9,19.0,74.8,5.5,64.0,maize
72.7,35.3,17.0,24.1,64.5,6.8,80.0,maize
74.2,57.4,16.6,21.5,60.2,6.7,65.2,maize
58.5,48.6,17.2,20.9,67.4,6.0,84.4,maize
98.6,57.0,17.1,20.2,68.7,6.5,94.7,maize
60.3,53.6,19.7,18.8,68.5,6.1,80.9,maize
69.7,39.9,21.2,20.7,63.9,5.8,94.1,maize
84.6,59.3,25.9,25.6,70.4,6.0,103.4,maize
74.7,47.1,17.7,19.2,67.8,6.0,103.7,maize
98.4,44.9,25.2,24.3,58.9,6.9,61.7,maize
88.9,55.5,20.4,25.7,66.2,6.1,106.8,maize
84.2,47.5,16.8,26.5,58.3,5.8,91.4,maize
70.4,44.4,18.0,24.1,56.9,5.9,85.6,maize
92.1,48.2,24.3,18.6,69.0,5.6,98.3,maize
87.9,50.7,24.9,23.0,68.5,6.4,71.4,maize
71.4,40.2,21.4,22.1,67.4,6.1,108.0,maize
79.6,36.8,12.9,18.0,66.1,6.1,101.1,maize
67.1,49.9,16.7,22.3,64.6,5.8,92.5,maize
85.1,57.0,15.7,25.7,69.3,6.1,63.1,maize
96.5,43.0,19.0,23.1,73.6,5.8,91.0,maize
83.7,46.8,19.2,18.8,59.5,6.9,79.1,maize
93.8,53.0,20.3,21.9,57.9,6.3,89.0,maize
80.6,53.9,22.7,19.5,61.1,6.5,104.4,maize
94.5,47.3,24.7,25.8,64.8,6.5,107.7,maize
97.4,36.4,23.3,23.8,63.5,6.8,95.4,maize
93.4,56.8,16.7,25.8,67.9,6.3,65.1,maize
80.7,59.7,21.6,23.1,55.0,6.5,105.6,maize
61.6,57.6,26.8,21.0,64.3,6.2,82.2,maize
68.9,51.7,17.7,22.4,68.7,6.0,115.1,maize
86.1,41.5,21.1,25.8,62.0,6.4,80.4,maize
94.9,58.2,23.0,20.5,66.9,5.5,91.8,maize
82.4,37.6,18.8,25.9,61.0,6.7,65.3,maize
70.2,57.5,19.1,17.9,66.7,6.1,58.1,maize
97.0,51.6,25.4,18.0,65.9,6.8,91.3,maize
94.5,58.3,24.7,21.6,66.7,7.0,86.0,maize
81.6,49.4,15.5,22.7,75.5,6.3,91.2,maize
74.1,46.4,12.8,23.0,64.7,5.6,85.7,maize
81.3,44.6,14.1,21.2,65.1,6.7,107.6,maize
74.5,47.2,21.8,23.9,73.6,6.7,91.3,maize
62.9,39.8,19.3,18.4,57.1,6.5,99.8,maize
56.9,51.3,25.3,24.5,57.1,5.3,81.1,maize
79.2,54.7,22.5,22.3,67.5,6.6,85.0,maize
95.3,54.3,19.4,22.1,69.5,6.0,61.1,maize
93.7,34.8,18.6,19.3,64.3,6.3,87.7,maize
64.7,47.2,23.7,20.9,55.1,6.5,103.2,maize
64.5,57.7,18.0,20.3,66.0,6.2,97.0,maize
74.5,39.0,22.9,23.5,56.0,6.1,91.8,maize
100.3,51.0,20.3,17.7,63.0,7.0,106.8,maize
98.3,37.5,23.5,20.4,73.4,6.3,84.0,maize
72.7,43.2,25.5,25.7,75.8,6.6,94.5,maize
95.3,36.3,22.1,24.6,69.2,6.5,74.2,maize
90.4,57.6,14.0,18.6,70.3,5.8,101.2,maize
93.0,54.6,20.3,17.9,54.7,6.0,106.7,maize
63.0,43.7,18.7,24.4,55.8,5.9,76.0,maize
95.9,44.6,21.0,20.1,67.1,6.0,106.1,maize
84.5,48.0,13.5,24.8,71.7,6.4,63.4,maize
81.6,42.8,13.6,24.4,60.5,6.5,70.7,maize
75.9,41.9,22.6,26.7,62.5,6.3,94.2,maize
85.0,57.0,18.2,24.8,62.3,6.7,83.0,maize
65.5,33.5,25.1,25.5,58.9,7.0,75.6,maize
75.0,41.0,19.8,24.6,58.2,6.7,55.8,maize
61.0,56.1,12.1,17.6,57.3,5.8,86.2,maize
78.6,63.1,18.6,25.0,76.1,5.7,74.2,maize
62.7,46.5,20.5,26.1,72.6,6.3,77.9,maize
68.8,44.5,19.5,18.8,56.6,6.0,64.1,maize
85.7,41.5,20.5,24.9,60.8,5.9,85.1,maize
63.7,36.5,24.3,22.8,67.0,5.7,79.9,maize
80.7,39.0,20.4,20.4,74.3,5.9,78.3,maize
85.2,60.6,22.9,26.5,75.1,6.6,89.7,maize
72.7,41.4,20.6,18.9,55.8,5.8,88.2,maize
91.8,52.9,13.5,21.9,61.1,6.0,89.7,maize
96.9,45.1,23.7,20.4,67.4,6.8,57.5,maize
61.6,36.3,17.4,25.8,68.6,6.2,82.4,maize
98.6,46.1,20.8,19.0,61.3,5.7,63.5,maize
77.8,54.3,23.9,24.5,72.9,6.3,53.5,maize
66.5,31.2,23.3,20.2,60.8,6.9,75.8,maize
86.1,54.5,21.7,26.0,66.5,5.8,70.3,maize
92.4,36.3,14.5,24.8,70.2,6.2,83.9,maize
80.5,60.2,25.5,20.2,62.4,6.1,92.8,maize
93.1,38.9,21.4,18.9,71.7,5.9,96.2,maize
101.3,39.9,23.7,19.7,64.3,5.6,98.5,maize
85.6,52.2,20.9,20.3,62.4,5.8,93.2,maize
91.0,45.8,17.0,18.8,67.7,6.4,83.5,maize
89.4,40.9,16.7,26.8,58.8,6.5,75.6,maize
67.2,36.6,17.6,24.0,56.9,5.6,65.5,maize
87.0,44.2,17.5,24.0,61.9,6.6,106.3,maize
84.1,50.8,18.5,23.1,72.5,6.1,95.7,maize
97.4,53.4,20.9,21.7,69.5,6.4,95.9,maize
61.7,40.7,16.3,19.9,59.1,5.8,88.8,maize
87.7,56.5,21.5,23.7,70.0,5.8,79.3,maize
83.1,43.3,21.1,26.2,59.2,6.4,82.3,maize
96.5,32.0,16.6,22.4,73.8,6.1,89.3,maize
65.4,37.8,21.7,25.0,61.1,6.0,78.5,maize
76.4,53.8,15.8,21.9,74.9,6.0,71.8,maize
95.2,55.7,24.3,18.9,69.4,5.9,76.8,maize
22.8,64.7,76.3,18.7,15.3,6.6,72.1,chickpea
43.2,68.1,77.3,19.8,15.2,8.5,79.6,chickpea
43.6,57.0,81.0,19.9,12.5,6.1,88.6,chickpea
40.9,68.5,76.8,20.5,19.1,8.2,87.8,chickpea
38.7,76.5,79.3,19.9,19.1,7.6,95.0,chickpea
21.8,63.8,87.7,18.7,15.4,7.0,75.8,chickpea
51.5,57.1,76.8,18.1,19.1,6.3,95.0,chickpea
50.9,72.8,81.8,19.1,15.7,8.5,88.9,chickpea
45.5,70.1,81.1,19.3,15.0,6.6,75.7,chickpea
40.0,60.1,77.9,20.8,16.2,7.9,83.8,chickpea
31.3,71.1,74.1,20.0,19.6,6.6,62.9,chickpea
40.2,55.1,81.6,16.5,20.6,8.6,93.4,chickpea
52.1,70.7,78.0,19.8,19.1,6.3,71.7,chickpea
41.5,60.4,76.5,20.7,14.9,8.5,93.8,chickpea
57.8,83.3,86.1,18.3,16.1,8.6,67.9,chickpea
60.1,81.8,83.2,19.3,17.4,8.0,69.2,chickpea
42.2,73.4,78.6,18.9,14.7,8.1,92.7,chickpea
50.6,74.0,85.1,16.8,20.1,7.5,72.1,chickpea
19.7,69.9,84.5,18.2,19.0,8.1,75.0,chickpea
38.7,75.8,74.7,21.1,19.9,6.2,70.4,chickpea
25.7,57.1,73.3,20.0,14.9,6.3,79.5,chickpea
20.2,59.5,79.1,19.5,17.2,8.3,74.9,chickpea
22.9,68.8,72.1,20.1,13.2,7.8,87.9,chickpea
55.9,65.3,85.2,20.0,16.4,7.7,82.8,chickpea
33.9,65.3,78.6,18.0,20.0,7.5,73.5,chickpea
43.4,62.5,81.5,17.3,14.4,8.4,93.1,chickpea
42.2,73.0,78.9,20.0,19.3,6.5,69.7,chickpea
31.6,55.6,82.0,19.9,14.9,6.3,66.1,chickpea
30.3,76.2,82.9,17.5,18.9,8.7,93.9,chickpea
26.1,54.6,77.9,19.5,17.9,6.1,75.6,chickpea
50.5,55.6,82.7,17.7,16.3,7.0,89.1,chickpea
28.6,73.4,79.1,18.0,15.5,7.0,73.9,chickpea
42.1,78.5,85.1,18.4,16.7,7.8,89.3,chickpea
20.6,64.4,80.8,20.5,18.4,6.1,95.5,chickpea
34.6,66.8,83.3,19.7,20.0,6.2,68.4,chickpea
34.2,64.5,83.1,17.8,15.6,7.2,82.2,chickpea
41.3,62.6,76.9,20.1,16.9,8.7,99.2,chickpea
57.6,65.9,77.1,18.8,19.8,6.6,83.8,chickpea
22.1,61.7,73.2,21.0,18.8,7.0,67.2,chickpea
37.7,57.8,82.1,18.7,17.3,7.1,72.3,chickpea
28.2,65.4,82.3,19.6,18.1,6.6,94.7,chickpea
25.2,64.6,80.9,21.7,14.9,7.2,88.6,chickpea
46.0,67.5,79.8,19.7,15.8,7.0,83.2,chickpea
25.4,64.1,82.6,16.6,19.0,7.6,79.1,chickpea
59.0,77.8,86.9,19.3,20.5,7.2,85.5,chickpea
53.9,68.0,81.1,21.0,16.4,7.5,65.9,chickpea
24.6,62.3,84.4,17.8,20.0,7.8,87.9,chickpea
26.6,58.2,79.1,18.4,18.9,6.2,64.4,chickpea
44.2,61.5,74.5,20.2,19.0,6.1,80.4,chickpea
43.2,53.9,77.4,19.5,17.2,6.7,96.8,chickpea
33.7,65.8,82.1,18.2,16.9,8.4,70.9,chickpea
20.5,63.4,77.6,19.2,17.6,8.1,72.2,chickpea
37.8,54.7,78.5,17.3,18.4,8.5,71.6,chickpea
26.8,72.8,85.2,18.8,15.5,7.8,93.7,chickpea
27.5,71.7,83.1,18.6,14.6,7.5,95.2,chickpea
43.3,75.8,76.1,20.2,19.0,7.8,86.8,chickpea
39.0,59.1,83.2,19.3,16.4,6.2,85.6,chickpea
52.9,62.7,75.8,18.1,16.3,7.5,80.6,chickpea
61.9,71.4,76.1,18.0,18.4,8.0,83.3,chickpea
56.5,77.2,86.8,18.5,16.7,7.8,75.5,chickpea
32.2,65.6,81.5,17.1,17.0,6.0,84.3,chickpea
28.9,71.6,75.7,17.8,14.0,6.5,82.3,chickpea
53.8,64.7,81.4,18.8,13.9,7.7,91.0,chickpea
56.6,69.0,79.7,16.9,16.0,8.4,92.7,chickpea
29.4,67.2,78.2,19.1,19.8,6.7,78.4,chickpea
52.9,68.0,84.1,19.2,16.4,7.0,87.2,chickpea
50.5,62.5,78.1,20.1,15.7,8.6,75.4,chickpea
39.2,54.9,77.6,17.4,17.3,8.0,62.9,chickpea
52.9,79.9,81.4,19.1,15.6,7.1,65.7,chickpea
23.7,70.8,81.3,18.5,15.9,7.6,77.9,chickpea
25.3,67.6,78.2,17.5,18.0,8.2,76.1,chickpea
20.0,70.4,85.4,20.4,19.6,6.0,73.2,chickpea
35.1,59.4,80.5,18.3,17.0,7.1,95.3,chickpea
45.7,71.6,88.1,18.5,18.3,7.7,83.5,chickpea
27.9,66.5,75.6,18.3,14.6,7.1,75.5,chickpea
40.6,56.8,79.2,20.8,14.4,6.5,69.3,chickpea
56.9,58.6,73.4,18.5,20.3,6.4,72.5,chickpea
20.4,69.5,83.4,18.7,18.9,6.7,65.1,chickpea
28.4,70.8,78.0,19.5,20.5,8.3,64.1,chickpea
55.7,58.3,84.5,19.3,19.1,8.4,67.4,chickpea
32.2,70.2,85.8,18.2,16.2,7.2,83.3,chickpea
39.6,64.2,78.0,18.4,16.8,6.8,97.8,chickpea
48.9,63.2,81.2,18.3,15.7,6.8,87.4,chickpea
56.9,57.6,81.1,19.5,16.9,6.6,83.8,chickpea
55.5,76.9,79.6,17.4,16.0,7.5,74.2,chickpea
23.9,56.3,78.0,19.3,20.0,8.6,86.9,chickpea
47.5,80.3,83.5,17.0,15.1,6.7,69.1,chickpea
49.3,62.6,79.7,18.9,16.0,8.3,99.2,chickpea
36.5,71.6,80.8,17.5,17.9,6.7,73.0,chickpea
50.1,80.4,82.6,19.6,13.2,7.3,72.2,chickpea
51.6,77.9,82.4,20.0,18.5,7.5,79.1,chickpea
32.5,74.8,82.3,20.4,14.4,8.1,78.3,chickpea
54.5,79.8,79.5,19.0,15.2,7.9,80.7,chickpea
49.1,58.6,83.8,18.6,15.3,7.1,84.9,chickpea
32.8,63.4,76.4,20.8,14.8,7.3,78.3,chickpea
42.4,58.9,79.8,19.4,14.8,8.2,87.9,chickpea
30.4,66.3,81.0,20.7,14.7,6.0,94.8,chickpea
28.1,58.3,83.7,18.7,15.1,7.2,72.4,chickpea
21.2,74.2,82.2,18.7,19.0,8.9,80.7,chickpea
56.4,77.0,77.3,16.3,18.4,6.8,68.1,chickpea
17.2,59.6,21.0,23.0,20.7,5.9,60.1,kidneybeans
20.9,58.3,21.9,16.4,21.3,5.5,138.0,kidneybeans
18.5,78.5,22.8,17.2,21.6,5.4,119.7,kidneybeans
25.8,76.5,19.2,19.8,20.2,5.5,65.9,kidneybeans
20.6,58.3,25.3,17.8,22.0,5.9,144.0,kidneybeans
36.9,54.2,19.1,18.4,22.6,5.7,79.7,kidneybeans
24.9,75.7,17.7,19.5,23.3,5.9,56.7,kidneybeans
18.7,69.0,13.0,16.1,24.1,5.4,87.5,kidneybeans
39.5,67.1,26.9,18.0,18.9,5.7,130.3,kidneybeans
33.2,69.5,13.9,21.6,21.2,5.9,77.1,kidneybeans
40.8,76.1,20.7,18.2,23.7,5.9,130.8,kidneybeans
18.5,63.9,26.4,17.6,23.7,5.7,122.7,kidneybeans
25.3,72.3,18.2,19.4,19.6,5.8,111.9,kidneybeans
28.6,69.6,23.2,16.1,21.6,5.8,90.2,kidneybeans
36.9,75.9,14.4,21.2,20.6,5.7,66.9,kidneybeans
32.7,72.9,22.0,22.5,18.6,5.8,104.4,kidneybeans
26.8,65.2,21.3,20.4,20.5,6.0,93.8,kidneybeans
28.7,58.9,16.9,18.5,21.9,5.8,142.1,kidneybeans
29.9,54.2,20.9,15.0,21.8,5.7,159.5,kidneybeans
21.7,65.6,15.8,22.2,20.9,5.9,67.4,kidneybeans
18.3,61.1,19.1,19.9,20.8,5.4,94.1,kidneybeans
38.5,79.8,24.0,17.2,23.5,5.8,137.4,kidneybeans
18.2,70.2,18.9,22.1,21.0,5.5,153.6,kidneybeans
13.7,72.3,17.7,20.0,25.6,5.8,75.9,kidneybeans
24.3,64.8,16.5,17.8,22.2,5.7,71.9,kidneybeans
33.5,64.9,15.4,19.1,18.7,5.7,138.5,kidneybeans
18.7,64.9,22.6,20.7,24.0,5.6,89.9,kidneybeans
37.4,73.5,18.4,22.5,22.2,5.6,137.4,kidneybeans
20.4,66.2,14.4,14.7,23.8,5.8,123.8,kidneybeans
9.9,71.7,18.9,23.8,21.7,6.0,139.6,kidneybeans
21.7,78.1,20.4,19.9,20.7,5.9,100.9,kidneybeans
27.0,74.5,15.1,17.6,21.1,5.6,90.0,kidneybeans
37.0,77.2,17.7,17.1,18.2,5.7,97.8,kidneybeans
30.3,68.7,23.4,18.4,24.9,5.6,144.4,kidneybeans
15.3,63.2,17.5,16.5,19.4,5.7,67.0,kidneybeans
30.1,77.1,17.6,19.6,25.9,5.8,107.9,kidneybeans
24.3,60.6,20.7,24.9,23.6,5.5,90.4,kidneybeans
30.7,67.8,21.2,21.9,20.8,5.3,150.0,kidneybeans
31.4,70.0,20.7,19.0,20.4,6.0,142.5,kidneybeans
34.9,75.4,19.1,21.7,17.5,5.4,82.3,kidneybeans
25.3,61.6,22.1,19.1,25.7,5.7,116.0,kidneybeans
15.4,68.3,24.8,15.2,20.7,5.5,110.2,kidneybeans
27.9,59.6,20.4,16.6,20.9,6.0,126.3,kidneybeans
25.9,74.6,18.8,21.0,22.7,5.3,117.8,kidneybeans
36.0,61.2,21.3,24.4,20.7,6.1,76.2,kidneybeans
25.0,68.6,20.3,20.3,20.6,5.4,75.9,kidneybeans
25.3,64.9,15.1,22.1,23.2,5.9,144.4,kidneybeans
28.4,68.4,15.2,19.1,17.1,5.8,71.6,kidneybeans
18.8,68.8,17.8,22.6,22.0,5.6,150.5,kidneybeans
33.5,56.0,23.3,18.2,18.0,5.9,150.3,kidneybeans
42.1,60.9,20.4,18.2,23.4,5.7,102.3,kidneybeans
30.9,61.3,24.8,17.1,22.4,5.7,93.0,kidneybeans
17.5,70.2,23.4,19.6,19.5,5.7,99.5,kidneybeans
16.7,57.1,20.8,20.0,21.8,5.5,62.7,kidneybeans
29.9,74.3,20.5,16.6,18.9,5.9,121.5,kidneybeans
25.1,58.9,22.0,23.1,19.2,6.1,136.5,kidneybeans
33.9,63.1,21.8,15.3,22.6,5.5,85.5,kidneybeans
20.3,58.6,27.4,15.7,19.8,6.0,90.5,kidneybeans
26.7,62.2,19.7,16.3,24.9,5.5,118.8,kidneybeans
39.6,70.1,16.9,16.5,18.6,5.5,71.5,kidneybeans
21.9,65.9,23.8,18.1,19.2,5.8,140.4,kidneybeans
41.9,77.5,24.6,16.0,20.8,5.6,78.3,kidneybeans
34.3,73.2,17.3,23.1,21.5,5.9,69.8,kidneybeans
15.8,77.0,16.6,20.2,24.2,5.9,115.4,kidneybeans
39.1,76.6,15.3,15.5,19.5,5.7,90.9,kidneybeans
25.6,58.5,15.2,16.4,21.6,6.1,123.6,kidneybeans
22.1,54.0,18.9,19.3,25.1,5.8,148.4,kidneybeans
27.8,64.0,21.0,17.3,24.7,5.9,133.8,kidneybeans
16.3,72.5,18.4,18.7,23.8,5.7,82.2,kidneybeans
33.1,66.6,20.9,18.3,22.3,5.7,104.6,kidneybeans
32.6,68.9,19.6,16.5,24.8,5.8,111.5,kidneybeans
24.6,55.7,27.0,16.8,23.3,5.9,54.5,kidneybeans
37.1,71.6,13.6,21.8,24.5,6.1,61.2,kidneybeans
38.1,66.5,19.4,16.8,18.0,5.4,54.4,kidneybeans
31.4,59.5,21.9,20.7,21.4,5.8,95.4,kidneybeans
35.5,68.1,18.1,22.0,25.4,5.5,105.9,kidneybeans
31.2,77.8,17.6,20.5,18.5,6.1,105.7,kidneybeans
17.4,74.6,25.3,19.8,19.1,5.6,128.5,kidneybeans
22.3,61.3,20.3,16.0,23.3,5.6,134.3,kidneybeans
18.4,73.4,18.3,19.1,22.5,5.7,144.4,kidneybeans
27.9,66.1,16.9,19.0,23.6,5.8,96.7,kidneybeans
35.7,65.7,16.8,23.1,20.7,5.6,108.3,kidneybeans
27.3,75.1,17.1,18.7,24.0,5.4,94.3,kidneybeans
31.4,59.4,24.6,17.7,25.5,5.6,60.7,kidneybeans
21.3,68.2,19.7,24.5,19.5,5.6,60.6,kidneybeans
25.5,57.1,19.7,19.8,23.7,5.8,99.6,kidneybeans
18.3,60.0,24.8,23.4,21.4,5.5,73.5,kidneybeans
36.7,56.8,17.1,16.0,24.6,5.5,136.0,kidneybeans
33.0,61.5,18.7,16.0,19.4,5.7,74.4,kidneybeans
29.5,74.9,17.3,17.0,19.0,5.9,117.7,kidneybeans
15.2,52.9,19.5,17.7,23.0,5.7,95.5,kidneybeans
31.8,58.1,20.7,16.8,22.5,5.7,130.2,kidneybeans
32.9,78.1,24.4,21.2,22.2,5.9,124.4,kidneybeans
17.6,63.3,20.0,21.1,20.0,5.5,148.7,kidneybeans
36.8,57.4,15.2,24.0,20.7,5.9,88.1,kidneybeans
19.1,78.7,22.9,17.4,21.2,5.9,94.3,kidneybeans
40.4,76.2,18.9,17.6,22.8,5.6,84.1,kidneybeans
22.3,67.1,22.5,20.6,23.6,6.0,67.5,kidneybeans
36.5,65.2,14.1,14.3,18.6,5.9,78.3,kidneybeans
20.8,64.6,19.8,20.7,19.7,5.6,125.3,kidneybeans
14.1,69.3,24.3,31.8,62.6,5.9,104.1,pigeonpeas
26.2,63.9,20.8,33.9,61.7,5.2,152.8,pigeonpeas
15.2,67.5,18.8,33.1,34.6,6.5,198.9,pigeonpeas
19.6,66.9,25.5,28.9,41.8,6.1,131.6,pigeonpeas
16.2,75.4,23.2,31.7,31.6,4.8,190.4,pigeonpeas
31.5,76.1,20.8,31.7,31.0,6.7,147.2,pigeonpeas
37.7,68.7,24.7,28.8,51.0,5.5,120.7,pigeonpeas
22.0,75.4,14.4,36.7,60.0,6.4,106.9,pigeonpeas
28.7,65.1,22.5,30.8,45.6,5.6,133.6,pigeonpeas
13.8,59.2,17.0,32.0,62.7,7.0,176.8,pigeonpeas
36.2,63.7,22.6,28.8,57.3,7.1,155.0,pigeonpeas
34.9,64.1,23.9,36.7,31.3,6.1,138.7,pigeonpeas
28.5,56.5,20.8,28.2,55.4,6.2,113.9,pigeonpeas
27.0,67.8,11.1,28.0,39.7,5.7,194.5,pigeonpeas
34.0,64.0,19.3,30.7,43.9,5.4,104.2,pigeonpeas
29.2,64.9,25.5,32.6,40.9,7.0,98.1,pigeonpeas
15.9,65.6,18.9,31.2,48.3,5.0,181.5,pigeonpeas
36.2,66.1,18.5,33.7,50.3,4.9,175.8,pigeonpeas
26.8,66.3,24.6,35.9,32.7,5.1,108.7,pigeonpeas
22.0,59.6,16.0,30.7,56.8,5.4,106.6,pigeonpeas
22.4,58.0,17.0,30.0,51.5,5.2,190.7,pigeonpeas
13.2,65.5,11.6,35.2,57.0,6.3,135.2,pigeonpeas
36.4,70.2,18.0,34.2,64.6,7.3,104.7,pigeonpeas
33.6,74.8,19.0,29.8,31.9,7.2,92.7,pigeonpeas
23.1,63.3,22.4,32.4,63.2,7.0,134.4,pigeonpeas
27.6,65.1,20.4,36.5,34.6,5.1,186.3,pigeonpeas
